ID,Name,District,Address,Contact,Homepage,Upvote,Main Entrance Access Road,Handicap Parking,Main Entrance Slope Way,Disabled Escalator,Disabled Toilet,Disabled Lodging Facility,Disabled Seat,Disabled Ticket Office,Service for the visually-impaired,Service for the hearing-impaired,Information Service,Wheelchair Rental
5233,New Tiffany Tourist Hotel,Gangseo-gu,"196, Nambusunhwan-ro, Gangseo-gu, Seoul",02-2662-6118,http://cafe.naver.com/tiffanyhotel,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N
4992,Motel P.X,Yeongdeungpo-gu,"888-4, Gyeongin-ro, Yeongdeungpo-gu, Seoul",02-2636-2411,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
5192,Hotel The Designers,Gangnam-gu,"7, Teheran-ro 79-gil, Gangnam-gu, Seoul",02-568-8371,http://www.hotelthedesigners.com/,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5196,Easy Hotel,Gangseo-gu,"327, Hwagok-ro, Gangseo-gu, Seoul",02-2694-0707,http://www.eghotel.co.kr/,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5250,Manu Hotel,Jung-gu,"19, Toegye-ro, Jung-gu, Seoul",02-777-0100,,0,Y,N,Y,Y,Y,N,N,N,N,N,N,N
5125,Chocolate Hotel,Gangseo-gu,"24, Gangseo-ro 5-ga-gil, Gangseo-gu, Seoul",02-2604-6222,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
5208,Best Western Hotel Kukdo,Jung-gu,"164 Euljiro, Jung-gu, Seoul",02-6466-1234,http://www.kukdohotel.com/,0,Y,Y,N,Y,Y,N,N,N,N,N,N,N
5213,Brown Tourist Hotel,Seongbuk-gu,"78, Bomun-ro, Seongbuk-gu, Seoul",02-926-6601,,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N
5058,Hotel Pop,Jongno-gu,"16, Supyo-ro 22-gil, Jongno-gu, Seoul",02-764-1004,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
5071,Vision Hotel,Seongdong-gu,"277, Gosan-ro, Seongdong-gu, Seoul",02-2296-2244,http://www.benikea.com/,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
5857,Gaya Tour,Yongsan-gu,"98-11 Galwol-dong, Yongsan-gu, Seoul",,,0,N,N,Y,N,N,N,N,N,N,N,N,N
5017,H Hotel,Seocho-gu,"51 Hyoryeong-ro 55-gil, Seocho-gu, Seoul",02-582-9682,,0,Y,N,Y,N,N,N,N,N,N,N,N,N
5038,Casa,Songpa-gu,"7, Olympic-ro 34-gil, Songpa-gu, Seoul",02-412-3535,http://www.icasa.co.kr/,0,Y,N,Y,N,N,N,N,N,N,N,N,N
