ID,Name,District,Address,Contact,Homepage,Upvote,Main Entrance Access Road,Handicap Parking,Main Entrance Slope Way,Disabled Escalator,Disabled Toilet,Disabled Lodging Facility,Disabled Seat,Disabled Ticket Office,Service for the visually-impaired,Service for the hearing-impaired,Information Service,Wheelchair Rental
3695,Gil-dong Cheongsan Entrance Examination Academy (Taeyoung Building),Gangdong-gu,"1548 Yangjae-daero, Gangdong-gu, Seoul",02-488-4254,http://gangdong.highest21.com/,0,Y,Y,N,Y,N,N,N,N,N,N,N,N
2715,Seoul Deoksu Elementary School,Jung-gu,"17, Toegye-ro 22-gil, Jung-gu, Seoul",02-735-7225,www.deoksoo.es.kr/,0,Y,N,Y,Y,Y,N,N,N,N,N,N,N
2747,Gaemyung Elementary School,Guro-gu,"16-9 Gaebong-ro 1-da-gil, Guro-gu, Seoul",02-2684-5117,www.kaemyong.es.kr/,0,Y,Y,N,N,Y,N,N,N,N,N,N,N
2749,Toseong Elementary School,Songpa-gu,"44, Pungseong-ro 20-gil, Songpa-gu, Seoul",02-475-5036,www.stosung.es.kr,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
3376,Sookmyung Girls' High School,Gangnam-gu,"2807, Nambusunhwan-ro, Gangnam-gu, Seoul",02-3462-5011,www.sookmyung.hs.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2980,Sinbong Elementary School,Gwanak-gu,"1 Yangnyeong-ro 6na-gil, Gwanak-gu, Seoul",02-871-9616,www.sinbong.es.kr,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3341,Myeongil Girls' High School,Gangdong-gu,"350, Myeongil-ro, Gangdong-gu, Seoul",02-481-8191,http://www.myungil.hs.kr/,0,N,Y,N,Y,N,N,N,N,N,N,N,N
3262,Sillim High School,Gwanak-gu,"119, Munseong-ro, Gwanak-gu, Seoul",070-8611-9000,http://www.sillim.hs.kr/,0,N,Y,Y,Y,Y,N,N,N,N,N,N,N
5465,Seongsan 2-1 public parking lot,Mapo-gu,"31 Sandnae-ro, Mapo-gu, Seoul",02-308-2366,,0,Y,Y,Y,N,N,N,Y,N,N,N,N,N
4379,Happy Tree Daycare Center,Guro-gu,"40 Saemal-ro 9-gil, Guro-gu, Seoul",02-865-0509,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
5481,Changdong Automobile Driving School,Dobong-gu,"61, Dobong-ro 136-gil, Dobong-gu, Seoul",02-907-7744,http://www.hidi.co.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3400,Sangmyung High School,Nowon-gu,"553, Deokneung-ro, Nowon-gu, Seoul",02-971-6211,http://www.sangmyung.hs.kr/,0,Y,Y,N,N,Y,N,N,N,N,N,N,N
2723,Singa Elementary School,Songpa-gu,"75, Songi-ro, Songpa-gu, Seoul",02-401-4677,www.sinka.es.kr,0,Y,Y,N,N,Y,N,N,N,N,N,N,N
2730,Maewon Elementary School,Seongbuk-gu,"870, Bukaksan-ro, Seongbuk-gu, Seoul",02-922-6052,www.maewon.es.kr,0,N,Y,Y,N,Y,N,N,N,N,N,N,N
3667,Boyoung Lee English Academy,Yangcheon-gu,"192 Deungchon-ro, Yangcheon-gu, Seoul",02-2645-0593,http://www.talkingclub.co.kr/deungchon1,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
3671,E-Park Edu Center,Jungnang-gu,"71, Sinnae-ro, Jungnang-gu, Seoul",02-3423-0579,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3186,Junior High School,Dongjak-gu,"124 Seodal-ro, Dongjak-gu, Seoul",02-815-0142,www.cau.ms.kr,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3358,Geumok Girls' High School,Yangcheon-gu,"213, Sinjeong-ro, Yangcheon-gu, Seoul",02-2086-7507,www.geumok.hs.kr,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
2632,Seoul Wolgok Elementary School,Seongbuk-gu,"42, Jangwol-ro 3-gil, Seongbuk-gu, Seoul",02-943-6055,www.swg.es.kr/,0,Y,N,Y,N,N,N,N,N,N,N,N,N
2959,Jeongok Elementary School,Dongdaemun-gu,"172, Jeonnong-ro, Dongdaemun-gu, Seoul",02-2242-6548,www.jeongok.es.kr,0,Y,N,Y,Y,Y,N,N,N,N,N,N,N
3749,Eaton Academy,Nowon-gu,"217 Junggye-ro, Nowon-gu, Seoul",02-931-3303,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3742,Established academy,Jungnang-gu,"62, Sinnae-ro, Jungnang-gu, Seoul",,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3755,Jungwon Core Building (school),Nowon-gu,"1396, Dongil-ro, Nowon-gu, Seoul",02-938-4355,,0,Y,N,Y,Y,N,N,N,N,N,N,N,N
3760,Hanknow Academy,Eunpyeong-gu,"161, Yeonseo-ro, Eunpyeong-gu, Seoul",,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3770,Garden Kindergarten (Changed to JM Language Academy),Songpa-gu,"Baekjegobun-ro 36-gil-28, Songpa-gu, Seoul",02-416-4003,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3747,Power Academy,Yangcheon-gu,"34, Sinmok-ro, Yangcheon-gu, Seoul",02-2655-0603,,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
3392,Yonghwa Girls' High School,Nowon-gu,"1461 Dongil-ro, Nowon-gu, Seoul",02-950-3522,www.yonghwa.hs.kr,0,Y,Y,N,Y,N,N,N,N,N,N,N,N
4739,Sindang 2-dong Community Center,Jung-gu,"50, Dongho-ro 15-gil, Jung-gu, Seoul",02-3396-6740,,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
4743,Yongsan-gu Office,Yongsan-gu,"150 Noksapyeong-daero, Yongsan-gu, Seoul",02-2199-6114,http://www.yongsan.go.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
5401,Mario Tower,Guro-gu,"28, Digital-ro 30-gil, Guro-gu, Seoul",02-853-8063,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
5408,Pildong Public Parking Lot,Jung-gu,"55 Pildong-ro, Jung-gu, Seoul",,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
3403,Hwigyeong Technical High School,Dongdaemun-gu,"21, Gyeomjae-ro, Dongdaemun-gu, Seoul",02-2216-3643,http://www.hgt.hs.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3407,Nuwongo,Dobong-gu,"849 Madero, Dobong-gu, Seoul",02-3492-7594,http://www.noowon.hs.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
3055,Dongyang Middle School,Dongjak-gu,"94 Heukseok-ro 9-gil, Dongjak-gu, Seoul",02-814-9651,www.dongyang.ms.kr,0,Y,Y,Y,N,N,Y,N,N,N,N,N,N
3058,Hwagye Middle School,Gangbuk-gu,"63, Hwagyesa-gil, Gangbuk-gu, Seoul",02-986-3072,www.hwagye.ms.kr,0,Y,N,Y,N,N,N,N,N,N,N,N,N
3060,Sanggye First Middle School,Nowon-gu,"29-15, Deokneung-ro 86-gil, Nowon-gu, Seoul",02-930-3543,www.sanggyejeil.mg.kr,0,Y,Y,Y,Y,N,N,N,N,N,N,N,N
2884,Mokwon Elementary School,Yangcheon-gu,"204 Mokdongjungang-ro, Yangcheon-gu, Seoul",02-2643-5771,www.mokwon.ne.kr/,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
3495,Yongmun Graduate School of Counseling Psychology,Jongno-gu,"154, Yulgok-ro, Jongno-gu, Seoul",02-763-7448,http://yongmoon.ac.kr/,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
2493,Baeksang Kindergarten,Geumcheon-gu,"50, Tapgol-ro 3-gil, Geumcheon-gu, Seoul",02-806-5616,,0,N,Y,Y,N,N,N,N,N,N,N,N,N
5522,Newtown Funeral Home,Seongbuk-gu,"199, Jongam-ro, Seongbuk-gu, Seoul",02-909-4444,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
4751,Vacation 3-dong Community Center,Dobong-gu,"94, Sirubong-ro, Dobong-gu, Seoul",02-2289-1507,,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
5292,Digital Empire,Geumcheon-gu,"1130 Beoman-ro, Geumcheon-gu, Seoul",,,0,Y,Y,Y,N,Y,N,N,N,N,N,N,N
2779,Segok Elementary School,Guro-gu,"34, Gocheok-ro 33-gil, Guro-gu, Seoul",02-2613-5276,www.segok.es.kr,0,Y,N,Y,N,Y,N,N,N,N,N,N,N
2507,Seongshim Kindergarten,Songpa-gu,"25-16 Baekjegobun-ro 39-gil, Songpa-gu, Seoul",02-418-3889,,0,Y,Y,Y,N,N,N,N,N,N,N,N,N
2514,Kyungdong Kindergarten,Seongdong-gu,"100, Geumho-ro, Seongdong-gu, Seoul",02-2298-2277,www.kdchild.com,0,Y,N,Y,N,N,N,N,N,N,N,N,N
2528,Wooil Kindergarten,Gangseo-gu,"88, Gomdallae-ro 47-gil, Gangseo-gu, Seoul",02-2602-4026,,0,Y,Y,N,N,N,N,N,N,N,N,N,N
